t=2026-08-24T15:12:36+0100 lvl=info msg="join connections" obj=join id=dbd4f07a217f l=[::1]:8080 r=102.216.200.114:46574
t=2026-08-24T15:12:36+0100 lvl=info msg="join connections" obj=join id=6a8b32162d51 l=[::1]:8080 r=102.216.200.114:46574
t=2026-08-24T15:14:08+0100 lvl=info msg="join connections" obj=join id=9a082dcdfd10 l=[::1]:8080 r=102.216.200.114:46574
t=2026-08-24T15:14:08+0100 lvl=info msg="join connections" obj=join id=094a897de2ab l=[::1]:8080 r=102.216.200.114:46574
t=2026-08-24T15:45:47+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=1724f46b59d3 clientid=e52e49eac5d241239f3c3dcb2cb86680
t=2026-08-24T15:45:47+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=5941f9f5f465 err="session closed"
t=2026-08-24T15:45:47+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-08-24T15:45:48+0100 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-08-24T15:45:50+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T15:45:50+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-24T15:45:51+0100 lvl=info msg="join connections" obj=join id=f69b1dce3c1d l=[::1]:8080 r=102.216.200.114:56498
t=2026-08-24T15:45:51+0100 lvl=info msg="join connections" obj=join id=834c8d7710ff l=[::1]:8080 r=102.216.200.114:56498
t=2026-08-24T15:45:51+0100 lvl=info msg="join connections" obj=join id=0f8672ce7196 l=[::1]:8080 r=102.216.200.114:56498
t=2026-08-24T15:45:53+0100 lvl=info msg="join connections" obj=join id=b999c3400741 l=[::1]:8080 r=102.216.200.114:56498
t=2026-08-24T16:16:46+0100 lvl=info msg="join connections" obj=join id=5027c0cbcd1f l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:16:56+0100 lvl=info msg="join connections" obj=join id=eceef16e96a5 l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:16:56+0100 lvl=info msg="join connections" obj=join id=a3469d58f5c6 l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:20:23+0100 lvl=info msg="join connections" obj=join id=1d7bb8215950 l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:20:35+0100 lvl=info msg="join connections" obj=join id=b0ae924133aa l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:21:45+0100 lvl=info msg="join connections" obj=join id=c829251e32de l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:21:45+0100 lvl=info msg="join connections" obj=join id=2b735e0b72d4 l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:21:58+0100 lvl=info msg="join connections" obj=join id=b9d2e972157e l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:21:59+0100 lvl=info msg="join connections" obj=join id=a2ee2d6802b9 l=[::1]:8080 r=102.216.200.114:2755
t=2026-08-24T16:23:43+0100 lvl=info msg="join connections" obj=join id=513f19e8dfb4 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:23:43+0100 lvl=info msg="join connections" obj=join id=e7f09bb95c97 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:25:43+0100 lvl=info msg="join connections" obj=join id=c4ef484166b4 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:25:43+0100 lvl=info msg="join connections" obj=join id=4e5e331aa159 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:25:50+0100 lvl=info msg="join connections" obj=join id=52bfa219a9d4 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:26:17+0100 lvl=info msg="join connections" obj=join id=320a3f51e706 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:22+0100 lvl=info msg="join connections" obj=join id=f7674499a25f l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:25+0100 lvl=info msg="join connections" obj=join id=48da8363c53d l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:25+0100 lvl=info msg="join connections" obj=join id=a1d7aa390c2b l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:25+0100 lvl=info msg="join connections" obj=join id=320c54c2f0c9 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:25+0100 lvl=info msg="join connections" obj=join id=a94a1bcd324e l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:39+0100 lvl=info msg="join connections" obj=join id=93ddcee69007 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:28:39+0100 lvl=info msg="join connections" obj=join id=1836b52b0308 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:29:59+0100 lvl=info msg="join connections" obj=join id=920aa66e2a0a l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:29:59+0100 lvl=info msg="join connections" obj=join id=843a6b56ca59 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:29:59+0100 lvl=info msg="join connections" obj=join id=7fbd968d3edd l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:30:37+0100 lvl=info msg="join connections" obj=join id=f916d42adb45 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:30:37+0100 lvl=info msg="join connections" obj=join id=d8547c5e2de8 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:35:57+0100 lvl=info msg="join connections" obj=join id=98f67f39acc2 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:35:57+0100 lvl=info msg="join connections" obj=join id=6becfe3320f0 l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:37:36+0100 lvl=info msg="join connections" obj=join id=4f1be97fbe5a l=[::1]:8080 r=102.216.200.114:51479
t=2026-08-24T16:37:36+0100 lvl=info msg="join connections" obj=join id=45b33df76090 l=[::1]:8080 r=102.216.200.114:51479
